disciplina;materia;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta_correta;justificativa;dica;formula
Direito Administrativo;Prescrição contra a Fazenda Pública;Médio;Objetivando estabelecer a segurança nas relações jurídicas, ao retirar a possibilidade de situações financeiras perdurarem por tempo indeterminado, o Decreto Lei nº 20.910/1932 estabeleceu regras sobre prazos prescricionais quanto a direito ou ação contra a Fazenda federal, estadual ou municipal. Sobre as regras mencionadas nessa legislação, assinale a afirmativa correta.;A citação inicial interrompe a prescrição, mesmo quando, por qualquer motivo, o processo tenha sido anulado.;O direito à reclamação administrativa que não tiver prazo fixado em disposição de lei especial prescreve em três anos, a contar do conhecimento do ato ou fato apontado pelo particular prejudicado.;A prescrição interrompida recomeça a correr, por dois anos e meio, a partir do ato interruptivo, mas não poderá ficar reduzida aquém de cinco anos, mesmo que o ato interruptivo se dê durante a primeira metade do prazo.;"A prescrição somente poderá ser interrompida duas vezes, quando se trata de ação objetivando reparação material; já quando a pretensão versar sobre reparação moral, ela será interrompida sempre, segundo os regramentos da legislação civil.";Não corre a prescrição durante a demora do procedimento que está voltado a analisar ou estudar a pretensão deduzida no âmbito administrativo, salvo se esta versar sobre reparação material, quando o prazo prescricional retomará o seu curso após o primeiro ano, sem a decisão administrativa.;a;De acordo com o Decreto 20.910/32, a citação interrompe a prescrição, mesmo que o processo seja anulado.;A interrupção da prescrição pela citação é efetiva, independentemente do destino do processo.;Não se aplica.
Direito Constitucional;Controle Judicial de Políticas Públicas;Difícil;O Plenário do Supremo Tribunal Federal (STF), no julgamento do Recurso Extraordinário RE 684612, com repercussão geral (Tema 698), fixou parâmetros para nortear decisões judiciais. A respeito do recente posicionamento do STF em repercussão geral sobre os parâmetros do controle jurisdicional de políticas públicas voltadas à realização de direitos fundamentais, assinale a afirmativa correta.;A decisão judicial, como regra, deverá determinar medidas claras, objetivas e pontuais a serem realizadas pelo gestor público para a implementação dos direitos fundamentais.;A decisão judicial, prioritariamente, deve se limitar a apontar as finalidades a serem alcançadas e determinar que a Administração Pública apresente um plano ou os meios adequados para alcançar tal resultado.;A intervenção do Poder Judiciário em políticas públicas voltadas à realização de direitos fundamentais, mesmo em caso de deficiência grave ou ausência do serviço, viola o princípio da separação dos poderes.;A atuação judicial deve ser pautada por critérios de razoabilidade e eficiência e deve desenvolver e apresentar o plano concreto a ser cumprido pela administração para alcançar o resultado.;A decisão judicial não deve trazer qualquer tipo de determinação ao gestor público, sob pena de interferir na discricionariedade administrativa na tomada de decisão sobre as políticas públicas a serem implementadas.;b;O STF, no Tema 698, entende que o Judiciário deve, prioritariamente, determinar que a Administração apresente um plano para implementar o direito, sem substituir a administração.;O Judiciário não deve gerir políticas públicas, mas pode determinar que a administração o faça.;Não se aplica.
Direito Administrativo;Improbidade Administrativa;Médio;Em 2020, Fernando foi condenado com trânsito em julgado por ato de improbidade administrativa que causou prejuízo ao erário, por ter culposamente permitido que a sociedade empresária Beta utilizasse bens e valores integrantes do acervo patrimonial do Município Alfa, sem a observância das formalidades legais ou regulamentares aplicáveis à espécie, na época em que Fernando exercia o cargo de Secretário Municipal de Administração. Atualmente, em sede de cumprimento de sentença, o Ministério Público está pleiteando o pagamento de multa civil a que Fernando fora condenado na ação de improbidade. A defesa de Fernando, no entanto, alegou na execução que, diante da reforma da Lei de Improbidade Administrativa pela Lei nº 14.230/21, a multa não mais é devida. Diante da situação fática e jurídica narrada, alinhado ao entendimento do Supremo Tribunal Federal sobre o tema, o magistrado deve;acatar a tese defensiva e extinguir a execução, diante da aplicação do princípio da retroatividade da lei mais benéfica para o réu em matéria de direito sancionador, haja vista que a Lei nº 14.230/2021 revogou todas as hipóteses de atos de improbidade administrativa culposos.;acatar a tese defensiva e extinguir a execução, diante da aplicação dos princípios da isonomia e da segurança jurídica, pois a Lei nº 14.230/2021 revogou expressamente o tipo de ato de improbidade administrativa praticado por Fernando, aplicando-se, por analogia in bonam partem, o instituto da abolitio criminis.;acatar a tese defensiva e extinguir a execução, haja vista que a Lei nº 14.230/2021, por possuir conteúdo de direito material em tema de direito sancionador, aplica-se retroativamente a todos os processos de conhecimento e de execução em curso que tenham por objeto responsabilização por ato de improbidade administrativa.;rejeitar a tese defensiva e prosseguir a execução, pois a revogação da modalidade culposa do ato de improbidade administrativa, promovida pela Lei nº 14.230/2021, é irretroativa, de modo que os seus efeitos não têm incidência em relação à eficácia da coisa julgada, nem durante o processo de execução das penas e seus incidentes.;rejeitar a tese defensiva e prosseguir a execução, pois não houve revogação do tipo e do elemento subjetivo da culpa no ato de improbidade administrativa praticado por Fernando, pois os dispositivos da Lei nº 14.230/2021 são objeto de interpretação conforme a Constituição, para manter a culpa na configuração dos atos ímprobos que causem prejuízo ao erário.;d;A Lei 14.230/21 revogou a modalidade culposa, mas a retroatividade não atinge sentença transitada em julgado, conforme entendimento do STF.;A lei mais benéfica aplica-se a processos em curso, mas não aos já julgados.;Não se aplica.
Direito Administrativo;Processo Administrativo Disciplinar;Médio;Carlos, servidor público efetivo federal, no exercício das funções, praticou ato de insubordinação grave em serviço, que foi categoricamente comprovado no curso de regular processo administrativo disciplinar (PAD), que ensejou a imposição de pena de demissão ao servidor. Inconformado, Carlos ajuíza ação judicial, pleiteando a reforma da decisão administrativa, a fim de que lhe seja aplicada penalidade disciplinar menos gravosa, haja vista que comprovou nunca ter sido anteriormente sancionado, nem mesmo respondido a PAD, além de que constam em sua folha de assentamento funcional dois elogios. Com base na Lei nº 8.112/90 e na jurisprudência do Superior Tribunal de Justiça, o magistrado deve julgar a pretensão de Carlos;procedente, porque, diante dos bons antecedentes e da ausência de reincidência, o Estatuto dos Servidores Públicos Civis da União prevê que a penalidade disciplinar cabível para o caso em tela é a advertência, que será aplicada pela Administração Pública por escrito e de forma reservada e, em razão disso, Fernando deve ser imediatamente reintegrado ao cargo.;improcedente, haja vista que, apesar de o controle jurisdicional do PAD não se restringir ao exame da regularidade do procedimento e da legalidade do ato, sendo possível, em regra, incursão no mérito administrativo, por se tratar de direito administrativo sancionador, Fernando praticou ato de insubordinação grave em serviço que deve ser punido com demissão ou suspensão, conforme discricionariedade do administrador.;procedente, uma vez que, na aplicação das penalidades, devem ser consideradas a natureza e a gravidade da infração cometida, os danos que dela provierem para o serviço público, as circunstâncias atenuantes e os antecedentes funcionais, de maneira que a sanção de demissão deve ser substituída pela suspensão por 90 (noventa) dias, após o que será o servidor reintegrado.;improcedente, haja vista que, não obstante a autoridade administrativa possuir discricionariedade para aplicar ao servidor pena diversa de demissão quando caracterizadas as hipóteses legais dessa sanção de demissão mas houver atenuantes objetivas e subjetivas, o Poder Judiciário não pode se imiscuir no mérito administrativo, pois sua análise se restringe aos aspectos de legalidade do PAD, à luz dos princípios do contraditório, da ampla defesa e do devido processo legal.;improcedente, pois a autoridade administrativa que impôs a sanção disciplinar agiu corretamente, uma vez que não dispõe de discricionariedade para aplicar ao servidor pena diversa de demissão quando caracterizadas as hipóteses legais dessa sanção.;e;A insubordinação grave é hipótese de demissão, conforme art. 132, VIII, da Lei 8.112/90. A autoridade não tem discricionariedade para aplicar pena diversa.;A demissão é obrigatória para insubordinação grave.;Não se aplica.
Direito Administrativo;Licitações;Médio;O Município Alfa instaurou processo administrativo visando à contratação que tem por objeto a coleta, o processamento e a comercialização de resíduos sólidos urbanos recicláveis ou reutilizáveis, em áreas com sistema de coleta seletiva de lixo. No curso do processo, restou identificada a Cooperativa Delta, formada exclusivamente de pessoas físicas de baixa renda reconhecidas pelo poder público como catadores de materiais recicláveis, com o uso de equipamentos compatíveis com as normas técnicas, ambientais e de saúde pública. Assim, a municipalidade está em vias de efetivar a contratação direta da Cooperativa Delta, sem prévio processo licitatório, mediante dispensa de licitação. A sociedade empresária Beta, que atua no ramo de resíduos sólidos e possui um aterro sanitário legalizado, inclusive com a devida licença ambiental, pretende ser contratada para o mesmo objeto antes descrito e ajuizou ação judicial pleiteando, em sede de tutela de urgência inibitória, a proibição de contratação do serviço pretendido pelo Município Alfa sem prévia licitação. Conclusos os autos, o magistrado, atento à Lei nº 14.133/21, deve;deferir a liminar, pois a natureza do serviço a ser contratado pelo Município Alfa exige prévia licitação, cuja modalidade será determinada pelo valor estimado da contratação.;deferir a liminar, pois a natureza do serviço a ser contratado pelo Município Alfa exige prévia licitação, na modalidade pregão, que é obrigatória para aquisição de serviços comuns, cujo critério de julgamento poderá ser o de menor preço ou o de maior desconto.;deferir a liminar, pois a natureza do serviço a ser contratado pelo Município Alfa exige prévia licitação, na modalidade diálogo competitivo, em que a Administração Pública realiza diálogos com licitantes previamente selecionados mediante critérios objetivos, com o intuito de desenvolver uma ou mais alternativas capazes de atender às suas necessidades.;indeferir a liminar, pois, não obstante a contratação pretendida pelo Município Alfa não ser possível mediante dispensa de licitação, é cabível, na hipótese, a contratação direta mediante inexigibilidade de licitação, bastando que a municipalidade convalide os atos administrativos já praticados.;indeferir a liminar, pois a contratação pretendida pelo Município Alfa é possível mediante dispensa de licitação, por expressa previsão legal, desde que seja instruída com os documentos indicados na legislação de regência.;e;A Lei 14.133/21, art. 74, VI, permite a dispensa de licitação para contratação de cooperativas de catadores de materiais recicláveis.;A dispensa de licitação para cooperativas de catadores está prevista na lei de licitações.;Não se aplica.
Direito Administrativo;Responsabilidade Civil do Estado;Médio;Na capital do Estado Alfa, profissionais da área de saúde realizaram manifestação pública por melhores condições de trabalho e salariais. Criminosos se infiltraram no meio da passeata, para subtrair pertencentes dos manifestantes, em especial aparelhos celulares, ocasião em que a Polícia Militar chegou ao local para reprimir os delitos. Durante a atuação da polícia, Pedro, jornalista que cobria o evento, apesar de não ter descumprido ostensiva e clara advertência quanto ao acesso a áreas definidas como de grave risco a sua integridade física, acabou sendo lesionado por ter sido atingido pelo cassetete arremessado por um policial militar, em situação de evidente tumulto entre policiais e manifestantes. Diante do documentado dano material que sofreu por ter seu braço quebrado, Pedro ajuizou ação indenizatória em face do Estado Alfa. Após o regular curso processual, o feito foi concluso para sentença e o magistrado, observando a jurisprudência do Supremo Tribunal Federal, deve julgar a pretensão indenizatória de Pedro;procedente, diante da responsabilidade civil objetiva do Estado, não incidindo a excludente da responsabilidade da culpa exclusiva da vítima.;procedente em parte, diante da responsabilidade civil subjetiva do Estado, incidindo a excludente da responsabilidade da culpa exclusiva da vítima apenas para fins de compensação no valor da indenização.;improcedente, uma vez que, apesar da responsabilidade civil subjetiva do Estado, não ficou demonstrado abuso ou excesso na conduta policial.;improcedente, uma vez que, apesar da responsabilidade civil objetiva do Estado, incide a excludente da responsabilidade do caso fortuito ou força maior.;improcedente, uma vez que, apesar da responsabilidade civil objetiva do Estado, incide a excludente da responsabilidade da culpa exclusiva de terceiro.;a;O Estado é responsável objetivamente por danos causados por agentes públicos, e não há excludente no caso, pois a vítima não contribuiu para o dano.;A responsabilidade do Estado é objetiva, e a excludente de culpa exclusiva da vítima não se aplica.;Não se aplica.
Direito da Magistratura;Ética Judicial;Fácil;A juíza Joana, que acabou de se tornar vitalícia, foi convidada por veículo de imprensa para dar uma entrevista sobre determinado caso. Preocupada com as cautelas que deve adotar, Joana verificou que, de acordo com o Código de Ética da Magistratura Nacional, editado pelo Conselho Nacional de Justiça, deve;abster-se de emitir opinião sobre processo pendente de seu julgamento, mas pode fazê-lo em relação ao processo que será julgado por outro magistrado.;abster-se de emitir juízo depreciativo sobre despachos, votos, sentenças ou acórdãos, de órgãos judiciais, ressalvada a crítica nos autos, doutrinária ou no exercício do magistério.;observar que, caso se manifeste sobre processo pendente de seu julgamento, não poderá fazer juízo de valor sobre fatos ainda não decididos e deverá automaticamente se declarar suspeita para prosseguir no feito após a entrevista.;observar os sigilos legais decretados em processos judiciais, somente podendo dar entrevista porque já adquiriu a vitaliciedade, que, no primeiro grau, é adquirida após dois anos de exercício.;observar os sigilos legais decretados em processos judiciais, mas não lhe é exigido que evite comportamentos que impliquem a busca injustificada e desmesurada por reconhecimento social, mormente a autopromoção em publicação de qualquer natureza.;b;O Código de Ética da Magistratura veda ao juiz emitir juízo depreciativo sobre decisões de outros magistrados, exceto em críticas nos autos, doutrinárias ou no magistério.;A crítica a decisões de outros magistrados só é permitida em determinados contextos.;Não se aplica.
Direito da Criança e do Adolescente;Trabalho Infantil;Médio;No plano internacional, as duas principais normas a respeito do trabalho do adolescente são as Convenções da Organização Internacional do Trabalho nº 138, de 1973, sobre a idade mínima de admissão ao emprego, e nº 182, de 1999, sobre as piores formas de trabalho infantil. No plano nacional, o Estatuto da Criança e do Adolescente de 1990, do Art. 60 ao 69, prevê o direito à profissionalização e à proteção no trabalho infantil. Baseado nas normas internacionais e internas de proteção à criança e ao adolescente, além da CRFB/88, analise as afirmativas a seguir. I. A CRFB/88 proíbe o trabalho noturno, perigoso e insalubre a menores de 18 anos e de qualquer trabalho a menores de 16 anos, salvo na condição de aprendiz a partir de 14 anos. II. A Convenção 182 estipula que o trabalho nas atividades consideradas como piores formas de trabalho é proibido antes dos 16 anos de idade. III. É permitida qualquer atividade laboral realizada por adolescentes menores de 14 anos que se mostre imprescindível à sobrevivência e ao sustento do próprio trabalhador infantil e de sua família. IV. A doutrina da proteção integral da criança e do adolescente tem, como um de seus desdobramentos, a doutrina da situação irregular, ambas albergadas pelo Estatuto da Criança e do Adolescente (ECA). Está correto o que se afirma em;I, apenas.;IV, apenas.;I e IV, apenas.;II e III, apenas.;I e II, apenas.;a;A afirmativa I está correta conforme a CF. A II está incorreta porque a Convenção 182 proíbe as piores formas de trabalho para menores de 18 anos. A III está incorreta porque o trabalho é proibido antes dos 16 anos, salvo aprendiz a partir de 14. A IV está incorreta porque a doutrina da situação irregular foi substituída pela proteção integral.;A CF proíbe trabalho antes dos 16 anos, salvo aprendiz a partir de 14.;Não se aplica.
Direito Internacional;Objetivos de Desenvolvimento Sustentável;Fácil;Com 17 Objetivos de Desenvolvimento Sustentável (ODS) e 169 metas universais construídos após intensa consulta pública mundial, a Agenda 2030 da Organização das Nações Unidas possui propósitos ambiciosos e transformadores, com grande foco nas pessoas mais vulneráveis. Um compromisso internacional de tal porte exige a atuação de todos os Poderes da República Federativa do Brasil e a participação do Supremo Tribunal Federal (STF) é fundamental para a efetivação de medidas para este desafio mundial tendo em vista a possibilidade de se empreender no âmbito da Corte políticas e ações concretas. Como primeiras iniciativas, todos os processos de controle de constitucionalidade e com repercussão geral reconhecida indicados pelo Presidente para a pauta de julgamento estão classificados com o respectivo objetivo de desenvolvimento sustentável. Da mesma forma, o periódico de informativo de jurisprudência do STF já conta com essa marcação, permitindo a correlação clara e direta sobre o julgamento e os ODS. Avançou também neste momento para os processos julgados, com acórdãos publicados no ano de 2020. Neste amplo projeto de aproximação do STF com a Agenda 2030, estão programadas para as próximas etapas a identificação de processos de controle concentrado e com repercussão geral reconhecida ainda em tramitação, mesmo sem indicação de julgamento próximo. (Disponível em https://portal.stf.jus.br/hotsites/agenda-2030/) Entre os ODS, o Objetivo 16 visa a promover sociedades pacíficas e inclusivas para o desenvolvimento sustentável, proporcionar o acesso à justiça para todos e construir instituições eficazes, responsáveis e inclusivas em todos os níveis, mediante o cumprimento de algumas metas. As opções a seguir apresentam, corretamente, algumas dessas metas, à exceção de uma. Assinale-a.;Até 2030, fornecer identidade legal para todos, incluindo o registro de nascimento.;Reduzir substancialmente a corrupção e o suborno em todas as suas formas.;Garantir a tomada de decisão responsiva, inclusiva, participativa e representativa em todos os níveis.;Até 2030, zerar os fluxos financeiros e os de armas ilegais, reforçar a recuperação e a devolução de recursos roubados e combater as formas de crime organizado ligadas a crimes hediondos.;Fortalecer as instituições nacionais relevantes, inclusive por meio da cooperação internacional, para a construção de capacidades em todos os níveis, em particular nos países em desenvolvimento, para a prevenção da violência e o combate ao terrorismo e ao crime.;d;"A meta D não está corretamente redigida conforme os ODS. O ODS 16 não menciona ""crimes hediondos"" especificamente.";As metas do ODS 16 focam em paz, justiça e instituições eficazes.;Não se aplica.
Direito Empresarial;Compliance e Lei Anticorrupção;Médio;O termo compliance pode ser entendido como “estar em conformidade” e vem ganhando crescente importância na implementação de estruturas, processos e mecanismos tanto no setor privado como no setor público. Para minimizar os riscos de corrupção, o compliance foi ganhando espaço no setor público, especialmente com a entrada em vigor da Lei Anticorrupção (Lei nº 12.864/2013). Sobre o tema, analise as afirmativas a seguir. I. Por meio da responsabilidade subjetiva, as empresas podem ser punidas por atos de corrupção, independentemente de culpa, bastando a comprovação de que tais atos tenham sido praticados em seu interesse ou benefício. II. A responsabilização da pessoa jurídica não exclui a responsabilidade individual de seus dirigentes ou administradores ou de qualquer pessoa natural, autora, coautora ou partícipe do ato ilícito. III. A Lei Anticorrupção não abrange todas as esferas da Administração Pública (municipal, estadual e federal), tendo incidência direta apenas no âmbito federal. Está correto o que se afirma em;II, apenas.;I e II, apenas.;I e III, apenas.;II e III, apenas.;I, II e III.;a;A afirmativa II está correta. A I está incorreta porque a responsabilidade é objetiva, não subjetiva. A III está incorreta porque a lei abrange todas as esferas.;A Lei Anticorrupção estabelece responsabilidade objetiva da pessoa jurídica.;Não se aplica.
Direito da Magistratura;Princípios de Bangalore;Médio;Os Princípios de Conduta Judicial de Bangalore foram elaborados pelo Grupo de Integridade Judicial, constituído sob os auspícios das Nações Unidas. Sua elaboração teve início no ano de 2000, em Viena (Áustria), os princípios foram formulados em abril de 2001, em Bangalore (Índia) e oficialmente aprovados em novembro de 2002, em Haia (Holanda). Os Princípios de Conduta Judicial de Bangalore é um projeto de Código Judicial em âmbito global, elaborado com base em outros códigos e estatutos, nacionais, regionais e internacionais, sobre o tema, dentre eles a Declaração Universal dos Direitos Humanos, da ONU. (...) Os Princípios de Bangalore subsidiaram a elaboração do Código Ibero-Americano de Ética Judicial, promovido pela Cúpula Judicial Ibero-Americana, para ser instrumento norteador de condutas no âmbito dos países Ibero-Americanos, traduzido e editado pelo Centro de Estudos Judiciários. https://www.unodc.org/documents/lpobrazil/Topics_corruption/Publicacoes/2008_ Comentarios_aos_Principios_de_Bangalore.pdf) De acordo com os mencionados Princípios de Bangalore, o Juiz que acabou de ingressar na magistratura deve observar que;a motivação em matéria de Direito deve limitar-se a invocar as normas aplicáveis, especialmente nas resoluções sobre o fundo dos assuntos, não devendo ostentar uma intensidade máxima.;a vinculação ocorre apenas pelo texto das normas jurídicas vigentes, e não pelas razões nas quais se fundamentam, em atendimento ao princípio da legalidade.;a independência judicial implica que, sob o ponto de vista ético, o Juiz não deve participar, de qualquer modo, de atividade política partidária.;a obrigação da formação continuada dos juízes restringe-se às matérias especificamente jurídicas, para evitar subjetivismo em relação a outros ramos do conhecimento.;o segredo profissional tem como fundamento salvaguardar a confiança no Judiciário e não especificamente os direitos das partes e das pessoas próximas perante o uso indevido de informações obtidas pelo Juiz no desempenho das suas funções.;c;Os Princípios de Bangalore vedam ao juiz participar de atividade política partidária para preservar a independência judicial.;A independência judicial é um dos pilares dos Princípios de Bangalore.;Não se aplica.
Direito Constitucional;Organização Judiciária Estadual;Médio;O Estado Alfa publicou lei estadual, de iniciativa do Judiciário estadual, instituindo o novo Código de Organização Judiciária daquele Estado, que contém dispositivo que disciplina os critérios de desempate em caso de promoção de juízes por antiguidade. A norma prevê que verificado empate, na apuração da antiguidade, dar-se-á a precedência ao magistrado mais antigo na carreira. Permanecendo o impasse, promover-se-á aquele que tiver maior tempo de serviço público, ou, sucessivamente, o mais idoso. De acordo com a jurisprudência do Supremo Tribunal Federal, a citada norma é;inconstitucional, porque, não obstante o Estado tenha competência para legislar sobre o tema, desde que observada a iniciativa de lei ao Judiciário, a norma conflita com a Lei Orgânica da Magistratura Nacional que dispõe que, havendo empate na antiguidade, terá precedência o Juiz com maior produtividade.;constitucional, porque são cabíveis, como medida de desempate entre os concorrentes à promoção por antiguidade, condições estranhas à função jurisdicional, desde que no âmbito do serviço público, mediante a utilização do critério de tempo de serviço público que favoreça o magistrado com trajetória profissional exercida no setor público.;inconstitucional, porque, não obstante o Estado tenha competência para legislar sobre o tema, desde que observada a iniciativa de lei ao Judiciário, a norma conflita materialmente com a Constituição da República que prevê que, na Justiça dos Estados, apurar-se-á na entrância a antiguidade e, havendo empate na antiguidade, terá precedência o Juiz mais antigo na carreira, ou, sucessivamente, o mais idoso.;constitucional, porque os Tribunais possuem autogoverno e competência para editar seus regimentos internos, podendo complementar a Lei Orgânica da Magistratura Nacional no que tange à alteração da organização e da divisão judiciárias.;inconstitucional, por violar a reserva de lei complementar e a iniciativa da Suprema Corte para disciplinar matéria concernente ao Estatuto da Magistratura, veiculando conteúdo que exorbitou indevidamente do regramento;c;A CF, no art. 93, I, estabelece que a promoção por antiguidade obedece à entrância, e o desempate é pelo mais antigo na carreira ou mais idoso. A lei estadual não pode inovar.;A CF define os critérios de promoção na magistratura.;Não se aplica.
Direito Internacional;Corte Interamericana de Direitos Humanos;Médio;O caso Valência Campos e outros vs. Bolívia, apreciado pela Corte Interamericana de Direitos Humanos em 2022, suscitou a análise acerca das garantias que devem ser asseguradas no curso de operações policiais de busca e apreensão em domicílios no período noturno. A Corte IDH declarou a responsabilidade do Estado boliviano à luz da Convenção Americana sobre Direitos Humanos (“Convenção”) pela violação de uma série de direitos das vítimas que, à época dos fatos, foram alvo de uma operação policial que tinha por objetivo identificar e deter os supostos autores de um roubo de grande repercussão na Bolívia. Sobre as contribuições dessa sentença à jurisprudência interamericana, assinale a afirmativa correta.;A Corte se absteve de declarar violações aos direitos econômicos, sociais, culturais e ambientais (DESCA), por entender que o caso envolveu apenas violações relativas aos direitos às garantias judiciais, à liberdade pessoal e à intimidade, isto é, Direitos de natureza civil.;O entendimento da Corte IDH sobre a limitação de operações de invasão domiciliar durante a noite tem por fundamento o direito à vida privada, previsto no Art. 11 da Convenção e as obrigações estatais de proteção da família, decorrentes do Art. 17 da Convenção.;A Corte IDH concluiu que as operações de invasão domiciliar noturnas somente podem ser consideradas compatíveis com a Convenção Americana em situações de consentimento, flagrância ou de comprovada periculosidade do alvo da operação.;O caso Valência Campos vs. Bolívia reflete uma tendência recente da Corte IDH de restringir o conceito de “vítima”, compreendendo como tais apenas os indivíduos que foram diretamente atingidos pelos atos praticados por agentes do Estado, no caso, as pessoas que eram alvos das invasões domiciliares noturnas.;A Corte IDH concluiu que o Estado não violou o direito à presunção de inocência ao exibir as vítimas aos meios de imprensa, tendo em consideração que o caso teve grande repercussão midiática e que o Estado não poderia prevenir tal exposição.;b;A Corte IDH fundamentou a limitação de operações noturnas no direito à vida privada e proteção da família.;A Convenção Americana protege a vida privada e a família.;Não se aplica.
Direito Internacional;Corte Interamericana de Direitos Humanos;Médio;A competência consultiva da Corte Interamericana de Direitos Humanos constitui um dos mecanismos por meio dos quais o Tribunal exerce sua função de interpretação da Convenção Americana sobre Direitos Humanos, ao lado do exercício de suas competências contenciosa e cautelar. Sobre as Opiniões Consultivas emitidas pela Corte IDH, assinale a afirmativa correta.;As Opiniões Consultivas só podem ser solicitadas por Estados que reconhecem a competência da Corte IDH nos termos do Art. 64 da Convenção e pela Comissão Interamericana de Direitos Humanos.;Na Opinião Consultiva nº 1 de 1982, denominada Otros tratados, objecto de la función consultiva de la Corte, a Corte IDH reconheceu que sua competência consultiva compreende qualquer tratado internacional aplicável aos Estados do sistema interamericano, desde que o instrumento possua caráter multilateral.;As Opiniões Consultivas não podem versar sobre disposições normativas concretas de um determinado Estado, apenas sobre as situações hipotéticas e sobre a interpretação de tratados internacionais em relação aos quais é competente.;Caso encontre disposições incompatíveis com a Convenção no exame das matérias submetidas em sede de solicitação de opinião consultiva, a Corte poderá ordenar ao Estado que adote as medidas necessárias para adequá-las ao corpus iuris interamericano.;As Opiniões Consultivas da Corte IDH podem ser consideradas modalidade de exercício preventivo do controle de convencionalidade e são fontes standards que devem ser observados pelos Estados.;e;As Opiniões Consultivas servem como padrões para os Estados e são forma de controle preventivo de convencionalidade.;A competência consultiva da Corte IDH é preventiva e orientadora.;Não se aplica.
Direito Internacional;Direitos Humanos;Fácil;Os Direitos Humanos assumiram, na atualidade, uma posição de centralidade no ordenamento jurídico, razão pela qual os conteúdos desses direitos agem como importante vetor interpretativo. Acerca das características e especificidades dos Direitos Humanos, assinale a afirmativa correta.;A universalidade dos Direitos Humanos acompanhou a evolução e o processo de internacionalização desses direitos. No entanto, apesar de sua relevância histórica, não consta expressamente de tratados e declarações internacionais, sendo fruto de um processo interpretativo.;"A abertura limitada dos Direitos Humanos possui relação com sua amplitude semântica; por isso, no processo legislativo admite-se a expansão do rol desses direitos somente no plano internacional, vedada inovação no âmbito interno.";A impossibilidade de o próprio titular de direitos renunciar à proteção e permitir que eles sejam violados é chamada pela doutrina de imprescritibilidade dos Direitos Humanos.;O Art. 5º, § 2º, da CRFF/88, in verbis: “Os direitos e garantias expressos nesta Constituição não excluem outros decorrentes do regime e dos princípios por ela adotados, ou dos tratados internacionais em que a República Federativa do Brasil seja parte”, é um exemplo de universalidade dos Direitos Humanos.;A relevância da transnacionalidade, como característica dos Direitos Humanos, possui especial aplicabilidade atualmente, dado o grande fluxo de refugiados.;e;A transnacionalidade refere-se à aplicação dos direitos humanos além das fronteiras nacionais, relevante para refugiados.;Direitos humanos são universais e transnacionais.;Não se aplica.
Direito Internacional;Corte Interamericana de Direitos Humanos;Médio;Casos envolvendo o delito de desaparecimento forçado são uma constante na jurisprudência contenciosa da Corte Interamericana de Direitos Humanos, desde a primeira sentença que proferiu no caso Velásquez Rodriguez vs. Honduras, em 1987. O Tribunal reconhece que se trata de violação múltipla aos direitos previstos na Convenção Americana sobre Direitos Humanos. A respeito do tema, analise as afirmativas a seguir. I. Segundo o entendimento da Corte IDH, o crime de desaparecimento forçado é um crime permanente que se prolonga no tempo até que o Estado comprove que o desaparecido já morreu. II. A proibição do desaparecimento forçado possui status de ius cogens. III. A Corte IDH reconhece o direito autônomo dos familiares a conhecer a verdade, que compreende não apenas as obrigações estatais derivadas dos artigos 8 e 25 da Convenção, mas também o direito de acesso à informação prescrito no Art. 13.1. Está correto o que se afirma em;I, apenas.;I e II, apenas.;I e III, apenas.;II e III, apenas.;I, II e III.;e;As três afirmativas estão corretas conforme a jurisprudência da Corte IDH.;O desaparecimento forçado é crime permanente e de ius cogens.;Não se aplica.
Direito Internacional;Sistema Interamericano de Direitos Humanos;Médio;Acerca da Carta da Organização dos Estados Americanos (OEA) e da Declaração Americana de Direitos e Deveres do Homem, assinale a afirmativa correta.;A Carta da OEA foi editada durante a 9ª Conferência Interamericana realizada em Bogotá, em 1948. Em razão da sua finalidade precípua de constituir formalmente a Organização dos Estados Americanos, o referido documento internacional não continha disposições relacionadas aos Direitos Humanos. Com vistas à abordagem desta temática específica, foi posteriormente editada a Declaração Americana de Direitos e Deveres do Homem.;A Declaração Americana de Direitos e Deveres do Homem é também conhecida como Pacto de São José da Costa Rica, por ter sido adotada durante a Conferência Especializada interamericana sobre Direitos Humanos realizada naquela cidade, em 1969.;De acordo com a posição majoritária, a Declaração Americana de Direitos e Deveres do Homem possui força vinculante. Contudo, vincula apenas aqueles Estados que a ratificaram expressamente, não abrangendo todos os países que ratificaram a Carta da OEA.;A Carta da OEA abordou o tema dos Direitos Humanos de forma mais genérica. Já a Declaração Americana de Direitos e Deveres do Homem é considerada uma interpretação autêntica dos dispositivos genéricos de proteção dos Direitos Humanos da Carta.;A Declaração Americana de Direitos e Deveres do Homem foi inspirada na Declaração Universal dos Direitos Humanos, editada poucos meses antes pela Organização das Nações Unidas.;d;A Declaração Americana é interpretação autêntica da Carta da OEA no que diz respeito aos direitos humanos.;A Declaração Americana complementa a Carta da OEA.;Não se aplica.
